departamento,provincia,distrito
LIMA,LIMA,ANCÓN
LIMA,LIMA,CARABAYLLO
LIMA,LIMA,COMAS
LIMA,LIMA,INDEPENDENCIA
LIMA,LIMA,LOS OLIVOS
LIMA,LIMA,PUENTE PIEDRA
LIMA,LIMA,SAN MARTÍN DE PORRES
LIMA,LIMA,SANTA ROSA
LIMA,LIMA,BARRANCO
LIMA,LIMA,BREÑA
LIMA,LIMA,JESÚS MARÍA
LIMA,LIMA,LA VICTORIA
LIMA,LIMA,LIMA
LIMA,LIMA,LINCE
LIMA,LIMA,MAGDALENA DEL MAR
LIMA,LIMA,MIRAFLORES
LIMA,LIMA,PUEBLO LIBRE
LIMA,LIMA,RÍMAC
LIMA,LIMA,SAN BORJA
LIMA,LIMA,SAN ISIDRO
LIMA,LIMA,SAN MIGUEL
LIMA,LIMA,SANTIAGO DE SURCO
LIMA,LIMA,SURQUILLO
LIMA,LIMA,ATE
LIMA,LIMA,CHACLACAYO
LIMA,LIMA,CIENEGUILLA
LIMA,LIMA,EL AGUSTINO
LIMA,LIMA,HUAYCÁN
LIMA,LIMA,LA MOLINA
LIMA,LIMA,LURIGANCHO
LIMA,LIMA,SAN JUAN DE LURIGANCHO
LIMA,LIMA,SAN LUIS
LIMA,LIMA,SANTA ANITA
LIMA,LIMA,CHORRILLOS
LIMA,LIMA,LURÍN
LIMA,LIMA,PACHACAMAC
LIMA,LIMA,PUCUSANA
LIMA,LIMA,PUNTA HERMOSA
LIMA,LIMA,PUNTA NEGRA
LIMA,LIMA,SAN BARTOLO
LIMA,LIMA,SAN JUAN DE MIRAFLORES
LIMA,LIMA,SANTA MARÍA DEL MAR
LIMA,LIMA,VILLA EL SALVADOR
LIMA,LIMA,VILLA MARÍA DEL TRIUNFO
